#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.10	25069	25424	tet34	66-421/465	.=======/=====.	2/2	76.34	75.35	card	AB061440:306-771
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.3	33872	35514	YojI	1-1644/1644	========/======	1/1	99.94	99.03	card	NC_000913.3:1-1645
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.3	127029	127973	leuO	1-945/945	===============	0/0	100.00	97.35	card	NC_000913.3:84368-85313
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.32	5189	8263	acrF	1-3106/3106	========/======	1/31	99.00	96.81	card	U00096:3415033-3418138
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.32	8274	9432	acrE	1-1159/1159	===============	0/0	100.00	98.53	card	U00096:3413864-3415022
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.32	9830	10493	acrS	1-664/664	===============	0/0	100.00	97.89	card	U00096:3412803-3413466
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.37	489	1314	gadX	1-826/826	===============	0/0	100.00	93.58	card	NC_007779:3974605-3975430
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.37	1682	2410	gadW	1-729/729	===============	0/0	100.00	96.84	card	CP015085.1:2551712-2552441
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.37	2772	5886	mdtF	1-3115/3115	===============	0/0	100.00	97.53	card	U00096:3660414-3663528
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.37	5911	7069	mdtE	1-1159/1159	===============	0/0	100.00	98.79	card	AP009048:3980026-3981184
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.4	147788	148421	CRP	1-634/634	===============	0/0	100.00	99.05	card	AP009048:4153664-4154297
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.45	26298	29892	evgS	1-3595/3595	===============	0/0	100.00	96.19	card	U00096:2484374-2487968
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.45	29896	30511	evgA	1-616/616	===============	0/0	100.00	99.03	card	NC_002695:3211892-3212507
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.45	31035	32091	emrK	1-1057/1057	===============	0/0	100.00	97.26	card	D78168:537-1593
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.45	32090	33629	emrY	1-1540/1540	===============	0/0	100.00	98.05	card	D78168:1592-3131
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.48	31565	32095	emrR	1-531/531	===============	0/0	100.00	99.81	card	NC_000913.3:2810770-2811301
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.5	4611	5989	patA	1-1379/1380	===============	0/0	99.93	98.48	card	NC_000913.3:3219494-3220874
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.54	4697	5081	marA	1-385/385	===============	0/0	100.00	99.74	card	NC_007779:1621288-1621672
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.57	679	1869	emrD	1-1191/1191	===============	0/0	100.00	97.98	card	GG749185.1:116813-118004
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.6	102644	104131	tolC	1-1488/1488	===============	0/0	100.00	99.73	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.6	126507	127329	bacA	1-823/823	===============	0/0	100.00	99.03	card	U00096:3203310-3204132
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.64	2101	3268	PmrE	1-1168/1168	===============	0/0	100.00	95.55	card	U00096:2098447-2099614
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.8	28184	29828	PmrC	1-1645/1645	===============	0/0	100.00	97.69	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.8	59077	60108	mdtN	1-1032/1032	===============	0/0	100.00	97.29	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.8	60108	62159	mdtO	1-2052/2052	===============	0/0	100.00	96.39	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.8	62156	63622	mdtP	1-1467/1467	===============	0/0	100.00	96.73	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.8	111826	113166	Escherichia_coli_LamB	1-1341/1341	===============	0/0	100.00	97.99	card	BA000007:5101245-5102586
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.88	251	1311	TEM-4	1-1061/1061	===============	0/0	100.00	99.06	card	NG_050265:1-1062
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.95	4952	5366	H-NS	1-415/415	===============	0/0	100.00	99.28	card	NC_002695:1737554-1737968
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.97	3562	5101	emrB	1-1540/1540	===============	0/0	100.00	97.92	card	U00096:2812616-2814155
/home/ryder/AMR_PROJECT/assemblies/11791_3_22.fa	ERZ3165111.97	5117	6290	emrA	1-1174/1174	===============	0/0	100.00	98.30	card	AP009048:2810083-2811256
