#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.1	7817	9225	mdtK	1-1409/1425	========/======	2/4	98.74	75.19	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.3	141653	142376	baeR	1-724/724	===============	0/0	100.00	100.00	card	NC_007779:2166413-2167136
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.3	142372	143776	baeS	1-1405/1405	===============	0/0	100.00	100.00	card	AP009048:2165013-2166417
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.3	145188	148266	mdtC	1-3079/3079	===============	0/0	100.00	99.90	card	U00096:2158386-2161464
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.3	148266	151389	mdtB	1-3124/3124	===============	0/0	100.00	99.81	card	U00096:2155263-2158386
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.3	151388	152636	mdtA	1-1249/1249	===============	0/0	100.00	100.00	card	U00096:2154016-2155264
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.30	13790	15434	PmrC	1-1645/1645	===============	0/0	100.00	99.45	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.30	38233	39264	mdtN	1-1032/1032	===============	0/0	100.00	98.16	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.30	39264	41315	mdtO	1-2052/2052	===============	0/0	100.00	98.59	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.30	41312	42778	mdtP	1-1467/1467	===============	0/0	100.00	98.16	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.31	30196	30580	marA	1-385/385	===============	0/0	100.00	100.00	card	NC_007779:1621288-1621672
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.35	19043	19912	Escherichia_coli_rob	1-870/870	===============	0/0	100.00	98.97	card	NC_000913.3:4634441-4635311
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.35	26254	27897	YojI	1-1644/1644	===============	0/0	100.00	98.72	card	NC_000913.3:1-1645
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.4	67521	68714	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	99.83	card	NC_000913.3:484426-485620
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.4	68737	71886	acrB	1-3150/3150	===============	0/0	100.00	99.43	card	NC_000913.3:481254-484404
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.44	15343	15698	tet34	66-421/465	.=======/=====.	2/2	76.34	75.63	card	AB061440:306-771
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.44	31591	31749	Escherichia_coli_emrE	202-361/1244	..===.../......	3/3	12.70	80.75	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.44	35769	35834	Escherichia_coli_emrE	141-206/1244	.==............	0/0	5.31	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.47	8070	8747	kdpE	1-678/678	===============	0/0	100.00	97.64	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.47	12939	13092	kdpE	535-678/678	......../...===	1/10	21.24	84.42	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.48	68	397	evgA	287-616/616	......=========	0/0	53.57	100.00	card	NC_002695:3211892-3212507
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.48	401	3995	evgS	1-3595/3595	===============	0/0	100.00	99.33	card	U00096:2484374-2487968
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.5	86285	87772	tolC	1-1488/1488	===============	0/0	100.00	99.73	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.5	109772	110594	bacA	1-823/823	===============	0/0	100.00	100.00	card	U00096:3203310-3204132
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.5	125955	127334	patA	1-1380/1380	===============	0/0	100.00	98.77	card	NC_000913.3:3219494-3220874
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.52	3684	5223	emrB	1-1540/1540	===============	0/0	100.00	99.94	card	U00096:2812616-2814155
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.52	5239	6412	emrA	1-1174/1174	===============	0/0	100.00	99.92	card	AP009048:2810083-2811256
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.52	6539	7069	emrR	1-531/531	===============	0/0	100.00	99.81	card	NC_000913.3:2810770-2811301
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.54	257	1490	mdtM	1-1234/1234	===============	0/0	100.00	96.19	card	U00096:4567287-4568520
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.56	9805	10972	PmrE	1-1168/1168	===============	0/0	100.00	97.43	card	U00096:2098447-2099614
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.6	143758	144421	acrS	1-664/664	===============	0/0	100.00	99.10	card	U00096:3412803-3413466
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.6	144819	145977	acrE	1-1159/1159	===============	0/0	100.00	98.97	card	U00096:3413864-3415022
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.6	145988	149093	acrF	1-3106/3106	===============	0/0	100.00	99.10	card	U00096:3415033-3418138
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.63	1	67	Escherichia_coli_emrE	139-205/1244	.==............	0/0	5.39	98.51	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.7	24762	25938	mdtL	1-1177/1177	===============	0/0	100.00	98.30	card	U00096:3891615-3892791
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.7	62878	64068	emrD	1-1191/1191	===============	0/0	100.00	97.98	card	GG749185.1:116813-118004
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.8	111	316	Escherichia_coli_emrE	1-206/1244	===............	0/0	16.56	100.00	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.8	125170	126918	msbA	1-1749/1749	===============	0/0	100.00	99.54	card	NC_000913.3:966621-968370
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.94	4542	6081	emrY	1-1540/1540	===============	0/0	100.00	98.83	card	D78168:1592-3131
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.94	6080	7136	emrK	1-1057/1057	===============	0/0	100.00	99.43	card	D78168:537-1593
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.94	7660	7949	evgA	1-290/616	========.......	0/0	47.08	98.62	card	NC_002695:3211892-3212507
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.96	444	1269	gadX	1-826/826	===============	0/0	100.00	97.82	card	NC_007779:3974605-3975430
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.96	1635	2363	gadW	1-729/729	===============	0/0	100.00	94.10	card	CP015085.1:2551712-2552441
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.96	2725	5839	mdtF	1-3115/3115	===============	0/0	100.00	98.46	card	U00096:3660414-3663528
/home/ryder/AMR_PROJECT/assemblies/11657_6_83.fa	ERZ3166064.96	5864	7022	mdtE	1-1159/1159	===============	0/0	100.00	99.66	card	AP009048:3980026-3981184
