#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,ISOLATE_ID
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.30,1,68,catB4_1,442-509/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.43,30198,30264,catB4_1,442-508/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,1,67,catB4_1,442-508/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,1492,1658,aadA1_1,1-174/972,===...../......,3/7,17.18,95.98,resfinder,X02340,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,1677,2150,dfrA17_1,1-474/474,===============,0/0,100.0,100.0,resfinder,FJ460238,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,2281,3069,aadA5_1,1-789/789,===============,0/0,100.0,100.0,resfinder,AF137361,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,3529,4455,sul1_2,1-927/927,===============,0/0,100.0,100.0,resfinder,CP002151,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,11077,11998,mph(A)_2,1-921/921,========/======,1/1,100.0,99.67,resfinder,U36578,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.54,12068,12134,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.57,1,66,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.57,3873,4688,sul2_2,1-816/816,===============,0/0,100.0,100.0,resfinder,GQ421466,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.58,858,1661,strA_1,1-804/804,===============,0/0,100.0,100.0,resfinder,M96392,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.58,1661,2497,strB_1,1-837/837,===============,0/0,100.0,100.0,resfinder,M96392,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.61,2695,3555,aac(3)-IId_1,1-861/861,===============,0/0,100.0,99.88,resfinder,EU022314,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.69,768,1952,tet(D)_1,1-1185/1185,===============,0/0,100.0,100.0,resfinder,AF467077,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.81,409,1269,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.86,1,65,catB4_1,442-506/549,............==.,0/0,11.84,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.86,209,863,catA1_1,6-660/660,===============,0/0,99.24,99.54,resfinder,V00622,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.86,864,929,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11658_3_78.fa,ERZ3166058.87,714,820,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11658_3_78
/home/ryder/AMR_PROJECT/assemblies/11679_6_28.fa,ERZ3165107.49,1198,2058,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11679_6_28
/home/ryder/AMR_PROJECT/assemblies/11657_5_9.fa,ERZ3164524.18,16926,17281,tet(34)_1,66-421/465,.=======/=====.,2/2,76.34,75.07,resfinder,AB061440,11657_5_9
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.32,10903,11258,tet(34)_1,66-421/465,.=======/=====.,2/2,76.34,75.35,resfinder,AB061440,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.54,23847,23953,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.77,1355,2560,tet(B)_4,1-1206/1206,===============,0/0,100.0,100.0,resfinder,AF326777,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.78,210,1070,aac(3)-IId_1,1-861/861,===============,0/0,100.0,99.88,resfinder,EU022314,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.78,6015,6101,catB4_1,419-509/549,......../..===.,2/4,15.85,92.31,resfinder,EU935739,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.81,3038,3204,aadA1_1,1-174/972,===...../......,3/7,17.18,95.98,resfinder,X02340,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.81,3223,3696,dfrA17_1,1-474/474,===============,0/0,100.0,100.0,resfinder,FJ460238,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.81,3827,4615,aadA5_1,1-789/789,===============,0/0,100.0,100.0,resfinder,AF137361,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.81,4800,4879,catB4_1,430-509/549,...........===.,0/0,14.57,93.75,resfinder,EU935739,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.82,461,1297,strB_1,1-837/837,===============,0/0,100.0,99.88,resfinder,M96392,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.82,1297,2100,strA_4,1-804/804,===============,0/0,100.0,100.0,resfinder,AF321551,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.82,2161,2976,sul2_2,1-816/816,===============,0/0,100.0,100.0,resfinder,GQ421466,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.82,4685,4750,catB4_1,442-507/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.83,3949,4608,catA1_1,1-660/660,===============,0/0,100.0,99.85,resfinder,V00622,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/11657_5_5.fa,ERZ3164361.90,215,1075,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11657_5_5
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.107,1,79,catB4_1,442-520/549,............===,0/0,14.39,100.0,resfinder,EU935739,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.48,11281,11387,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,1,78,catB4_1,443-520/549,............===,0/0,14.21,100.0,resfinder,EU935739,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,148,1069,mph(A)_2,1-921/921,========/======,1/1,100.0,99.67,resfinder,U36578,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,6364,7290,sul1_2,1-927/927,===============,0/0,100.0,100.0,resfinder,CP002151,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,7750,8538,aadA5_1,1-789/789,===============,0/0,100.0,100.0,resfinder,AF137361,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,8669,9142,dfrA17_1,1-474/474,===============,0/0,100.0,100.0,resfinder,FJ460238,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.58,9161,9327,aadA1_1,1-174/972,===...../......,3/7,17.18,95.98,resfinder,X02340,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.64,5866,5944,catB4_1,443-521/549,............===,0/0,14.39,100.0,resfinder,EU935739,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.65,1,79,catB4_1,442-520/549,............===,0/0,14.39,100.0,resfinder,EU935739,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.65,443,1642,tet(A)_4,1-1200/1200,===============,0/0,100.0,100.0,resfinder,AJ517790,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.65,2696,3532,strB_1,1-837/837,===============,0/0,100.0,99.88,resfinder,M96392,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.65,3532,4335,strA_4,1-804/804,===============,0/0,100.0,100.0,resfinder,AF321551,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.65,4396,5211,sul2_2,1-816/816,===============,0/0,100.0,100.0,resfinder,GQ421466,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/18090_7_86.fa,ERZ3485178.82,391,1266,blaCTX-M-27_1,1-876/876,===============,0/0,100.0,100.0,resfinder,EU916273,18090_7_86
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.1,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.125,714,820,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.84,612,1487,blaCTX-M-15_23,1-876/876,===============,0/0,100.0,100.0,resfinder,DQ302097,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.84,3232,3296,catB4_1,443-507/549,............==.,0/0,11.84,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.88,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.92,111,971,aac(3)-IIa_1,1-861/861,===============,0/0,100.0,99.77,resfinder,X51534,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.92,2668,2733,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.96,1,509,catB4_1,1-509/549,==============.,0/0,92.71,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.96,647,1477,blaOXA-1_1,1-831/831,===============,0/0,100.0,100.0,resfinder,J02967,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.96,1608,2207,aac(6')Ib-cr_1,1-600/600,===============,0/0,100.0,100.0,resfinder,DQ303918,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_4_95.fa,ERZ3166310.96,2254,2320,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_4_95
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.151,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.57,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.57,10847,10953,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.58,7767,8693,sul1_2,1-927/927,===============,0/0,100.0,100.0,resfinder,CP002151,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.58,9111,9912,aadA1_1,171-972/972,..=============,0/0,82.51,99.75,resfinder,X02340,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.58,9995,10468,dfrA1_30,1-474/474,===============,0/0,100.0,100.0,resfinder,JQ690541,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.58,10485,10652,aadA1_1,1-175/972,===...../......,3/7,17.28,96.0,resfinder,X02340,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.67,1949,3154,tet(B)_4,1-1206/1206,===============,0/0,100.0,100.0,resfinder,AF326777,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.72,68,904,strB_1,1-837/837,===============,0/0,100.0,99.88,resfinder,M96392,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.72,904,1707,strA_4,1-804/804,===============,0/0,100.0,99.88,resfinder,AF321551,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.72,1768,2583,sul2_3,1-816/816,===============,0/0,100.0,100.0,resfinder,HQ840942,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.72,4446,4511,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.79,66,294,catA1_1,432-660/660,.........======,0/0,34.7,99.56,resfinder,V00622,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.79,3608,3672,catB4_1,443-507/549,............==.,0/0,11.84,100.0,resfinder,EU935739,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11679_6_1.fa,ERZ3164531.99,237,1097,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11679_6_1
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.114,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.114,209,868,catA1_1,1-660/660,===============,0/0,100.0,99.55,resfinder,V00622,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.114,1383,1447,catB4_1,442-506/549,............==.,0/0,11.84,100.0,resfinder,EU935739,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.151,671,777,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.53,1,67,catB4_1,442-508/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.6,189504,189571,catB4_1,442-509/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.76,5391,5570,aadA1_1,1-187/972,===...../......,3/7,18.52,93.58,resfinder,X02340,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.76,5576,6149,dfrA7_1,1-570/570,========/======,3/4,100.0,98.78,resfinder,AJ419170,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.86,496,1356,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11658_8_67.fa,ERZ3165276.86,1836,3020,tet(D)_1,1-1185/1185,===============,0/0,100.0,100.0,resfinder,AF467077,11658_8_67
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.16,27910,28265,tet(34)_1,66-421/465,.=======/=====.,2/2,76.34,75.35,resfinder,AB061440,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.2,18,124,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,3710,4525,sul2_2,1-816/816,===============,0/0,100.0,100.0,resfinder,GQ421466,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,4586,5389,strA_4,1-804/804,===============,0/0,100.0,99.88,resfinder,AF321551,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,5389,6225,strB_1,1-837/837,===============,0/0,100.0,100.0,resfinder,M96392,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,13962,14132,aadA1_1,1-175/972,===...../......,2/4,17.59,97.71,resfinder,X02340,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,14149,14622,dfrA1_30,1-474/474,===============,0/0,100.0,100.0,resfinder,JQ690541,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,14705,15506,aadA1_1,171-972/972,..=============,0/0,82.51,99.63,resfinder,X02340,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,15924,16850,sul1_2,1-927/927,===============,0/0,100.0,100.0,resfinder,CP002151,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.47,26529,27734,tet(B)_3,1-1206/1206,===============,0/0,100.0,99.92,resfinder,AP000342,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.70,1,66,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.90,2034,2100,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.91,18,124,catB4_1,443-549/549,............===,0/0,19.49,99.06,resfinder,EU935739,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.91,1940,2009,strA_1,1-70/804,==.............,0/0,8.71,100.0,resfinder,M96392,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11679_8_89.fa,ERZ3166257.98,459,1319,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11679_8_89
/home/ryder/AMR_PROJECT/assemblies/11658_7_71.fa,ERZ3165746.101,1,66,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11658_7_71
/home/ryder/AMR_PROJECT/assemblies/11658_7_71.fa,ERZ3165746.107,771,937,aadA1_1,1-174/972,===...../......,3/7,17.18,95.98,resfinder,X02340,11658_7_71
/home/ryder/AMR_PROJECT/assemblies/11658_7_71.fa,ERZ3165746.111,1,107,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11658_7_71
