feature,shap_importance,feature_type
folP_S94A,0.015467593,Tier2+Tier1B
group_16388,0.015319875,Novel
ybeU,0.0151439505,Novel
phoQ_V35F,0.014279841,Tier2+Tier1B
phoP_P55S,0.014057965,Tier2+Tier1B
group_12558,0.013671528,Novel
marR_V3E,0.013420593,Tier2+Tier1B
ompC_Y119H,0.012942485,Tier2+Tier1B
gyrA_T535S,0.012196642,Tier2+Tier1B
dfrA17_1,0.012086242,Tier2+Tier1B
robA_E195K,0.012063828,Tier2+Tier1B
phoQ_K172E,0.012054721,Tier2+Tier1B
parE_P472T,0.011023784,Tier2+Tier1B
mphA,0.010765051,Tier2+Tier1B
folP_F4Y,0.010719952,Tier2+Tier1B
group_16994,0.010008095,Novel
parE_V39F,0.008517089,Tier2+Tier1B
kfoC,0.008513537,Novel
lacA,0.008387024,Novel
parE_Q211E,0.008384446,Tier2+Tier1B
parC_Q198K,0.00812578,Tier2+Tier1B
group_3308,0.008118296,Novel
robA_T213P,0.008095566,Tier2+Tier1B
gyrA_V190F,0.008084873,Tier2+Tier1B
gyrB_S464P,0.007853297,Tier2+Tier1B
parE_D403H,0.0073929434,Tier2+Tier1B
rpoB_H345Q,0.0072818734,Tier2+Tier1B
gyrA_A759T,0.007226524,Tier2+Tier1B
aadA1,0.0070091295,Tier2+Tier1B
group_11114,0.006997002,Novel
ampC_T86A,0.006923955,Tier2+Tier1B
ampC_P229T,0.0068138605,Tier2+Tier1B
phoP_P206A,0.0067657065,Tier2+Tier1B
parC_G528R,0.006748768,Tier2+Tier1B
mhpF,0.006454398,Novel
aadA5_1,0.006223992,Tier2+Tier1B
ugpB_2,0.0061910586,Novel
gatA,0.0057112672,Novel
sul2_2,0.005568875,Tier2+Tier1B
gyrB_I663M,0.005003375,Tier2+Tier1B
gyrA_Q627K,0.0049812356,Tier2+Tier1B
ompC_G211R,0.004926736,Tier2+Tier1B
ampC_A356S,0.0049003796,Tier2+Tier1B
parE_A489T,0.0043867165,Tier2+Tier1B
parC_E568K,0.0040878993,Tier2+Tier1B
mdoD,0.0033380724,Novel
parE_G394C,0.003336003,Tier2+Tier1B
gyrA_H262Y,0.0032850974,Tier2+Tier1B
parE_S458T,0.0032422296,Tier2+Tier1B
pmrB_L132V,0.002884608,Tier2+Tier1B
ampC_A19P,0.0026100143,Tier2+Tier1B
parC_L714F,0.0022804516,Tier2+Tier1B
gyrB_T754P,0.002193927,Tier2+Tier1B
group_9108,0.002189803,Novel
parE_N281H,0.0012666732,Tier2+Tier1B
gyrA_S111P,0.0011916305,Tier2+Tier1B
fosA7.5,0.0,Tier2+Tier1B
lnu(F),0.0,Tier2+Tier1B
lnu(G),0.0,Tier2+Tier1B
mcr-1.1,0.0,Tier2+Tier1B
mcr-3.1,0.0,Tier2+Tier1B
mcr-3.4,0.0,Tier2+Tier1B
mcr-3.5,0.0,Tier2+Tier1B
mcr-9.1,0.0,Tier2+Tier1B
mdtM.1,0.0,Tier2+Tier1B
mef(B),0.0,Tier2+Tier1B
mph(A),0.0,Tier2+Tier1B
mph(B),0.0,Tier2+Tier1B
oqxA.1,0.0,Tier2+Tier1B
oqxB.1,0.0,Tier2+Tier1B
dfrA36,0.0,Tier2+Tier1B
dfrA4,0.0,Tier2+Tier1B
dfrA5.1,0.0,Tier2+Tier1B
dfrA51,0.0,Tier2+Tier1B
fosA7,0.0,Tier2+Tier1B
arsA,0.0,Tier2+Tier1B
arsD,0.0,Tier2+Tier1B
arsR,0.0,Tier2+Tier1B
clpK,0.0,Tier2+Tier1B
emrE,0.0,Tier2+Tier1B
hdeD-GI,0.0,Tier2+Tier1B
hsp20,0.0,Tier2+Tier1B
kefB-GI,0.0,Tier2+Tier1B
merA,0.0,Tier2+Tier1B
merB,0.0,Tier2+Tier1B
qepA,0.0,Tier2+Tier1B
qepA1,0.0,Tier2+Tier1B
sul1.1,0.0,Tier2+Tier1B
qnrA1,0.0,Tier2+Tier1B
qnrB1,0.0,Tier2+Tier1B
qnrB7,0.0,Tier2+Tier1B
qnrD,0.0,Tier2+Tier1B
qnrS,0.0,Tier2+Tier1B
qnrS1,0.0,Tier2+Tier1B
qnrS2,0.0,Tier2+Tier1B
qnrS4,0.0,Tier2+Tier1B
rmtB1,0.0,Tier2+Tier1B
sat2,0.0,Tier2+Tier1B
dfrA7.1,0.0,Tier2+Tier1B
sul3.1,0.0,Tier2+Tier1B
fosA5,0.0,Tier2+Tier1B
qepA8,0.0,Tier2+Tier1B
blaSHV-12,0.0,Tier2+Tier1B
blaSHV-2,0.0,Tier2+Tier1B
blaTEM,0.0,Tier2+Tier1B
blaTEM-135,0.0,Tier2+Tier1B
blaTEM-15,0.0,Tier2+Tier1B
blaTEM-215,0.0,Tier2+Tier1B
blaTEM-30,0.0,Tier2+Tier1B
blaTEM-31,0.0,Tier2+Tier1B
blaTEM-33,0.0,Tier2+Tier1B
blaTEM-34,0.0,Tier2+Tier1B
blaTEM-35,0.0,Tier2+Tier1B
blaTEM-37,0.0,Tier2+Tier1B
dfrB1.1,0.0,Tier2+Tier1B
blaTEM-9,0.0,Tier2+Tier1B
ble,0.0,Tier2+Tier1B
blaCTX-M-27,0.0,Tier2+Tier1B
blaCTX-M-55,0.0,Tier2+Tier1B
blaCTX-M-65,0.0,Tier2+Tier1B
blaEC,0.0,Tier2+Tier1B
blaEC-5,0.0,Tier2+Tier1B
blaGES-5,0.0,Tier2+Tier1B
blaLAP-2,0.0,Tier2+Tier1B
blaNDM-1,0.0,Tier2+Tier1B
blaNDM-5,0.0,Tier2+Tier1B
blaOXA,0.0,Tier2+Tier1B
blaTEM-40,0.0,Tier2+Tier1B
dfrA8.1,0.0,Tier2+Tier1B
ariR,0.0,Tier2+Tier1B
emrD.1,0.0,Tier2+Tier1B
ere(A),0.0,Tier2+Tier1B
ere(B),0.0,Tier2+Tier1B
erm(42),0.0,Tier2+Tier1B
erm(B),0.0,Tier2+Tier1B
floR.1,0.0,Tier2+Tier1B
fosA,0.0,Tier2+Tier1B
fosA10,0.0,Tier2+Tier1B
fosA4,0.0,Tier2+Tier1B
bleO,0.0,Tier2+Tier1B
dfrA29,0.0,Tier2+Tier1B
catA2,0.0,Tier2+Tier1B
catB3.1,0.0,Tier2+Tier1B
cmlA1,0.0,Tier2+Tier1B
cmlA5.1,0.0,Tier2+Tier1B
cmlA6.1,0.0,Tier2+Tier1B
dfrA,0.0,Tier2+Tier1B
dfrA10.1,0.0,Tier2+Tier1B
dfrA12.1,0.0,Tier2+Tier1B
dfrA14.1,0.0,Tier2+Tier1B
dfrA17.1,0.0,Tier2+Tier1B
dfrA19.1,0.0,Tier2+Tier1B
dfrA21.1,0.0,Tier2+Tier1B
catA1,0.0,Tier2+Tier1B
group_16997,0.0,Novel
allS_3,0.0,Novel
group_26402,0.0,Novel
yjgB_2,0.0,Novel
group_17582,0.0,Novel
group_15783,0.0,Novel
parM,0.0,Novel
group_26326,0.0,Novel
group_20768,0.0,Novel
chpS,0.0,Novel
group_19071,0.0,Novel
group_21556,0.0,Novel
tet(D).1,0.0,Tier2+Tier1B
group_21540,0.0,Novel
group_8629,0.0,Novel
gemA,0.0,Novel
group_3469,0.0,Novel
focA,0.0,Novel
group_16262,0.0,Novel
ugpC_2,0.0,Novel
group_18642,0.0,Novel
group_24946,0.0,Novel
rsvB,0.0,Novel
group_26359,0.0,Novel
yfaX1_2,0.0,Novel
ccdB_2,0.0,Novel
group_26364,0.0,Novel
group_21525,0.0,Novel
traC_1,0.0,Novel
group_19254,0.0,Novel
group_6266,0.0,Novel
group_24898,0.0,Novel
group_8541,0.0,Novel
group_26374,0.0,Novel
wbbJ,0.0,Novel
group_13316,0.0,Novel
group_26381,0.0,Novel
group_25010,0.0,Novel
yagE_3,0.0,Novel
group_21546,0.0,Novel
group_26380,0.0,Novel
group_26382,0.0,Novel
group_26324,0.0,Novel
group_26377,0.0,Novel
group_19060,0.0,Novel
yfaX1_1,0.0,Novel
group_20868,0.0,Novel
group_14825,0.0,Novel
group_18507,0.0,Novel
group_16999,0.0,Novel
ugpA_2,0.0,Novel
group_15621,0.0,Novel
silR,0.0,Tier2+Tier1B
silS,0.0,Tier2+Tier1B
terB,0.0,Tier2+Tier1B
terC,0.0,Tier2+Tier1B
merC,0.0,Tier2+Tier1B
merD,0.0,Tier2+Tier1B
merE,0.0,Tier2+Tier1B
merF,0.0,Tier2+Tier1B
merP,0.0,Tier2+Tier1B
merR,0.0,Tier2+Tier1B
merT,0.0,Tier2+Tier1B
ncrA,0.0,Tier2+Tier1B
terD,0.0,Tier2+Tier1B
ncrC,0.0,Tier2+Tier1B
pcoA,0.0,Tier2+Tier1B
pcoB,0.0,Tier2+Tier1B
pcoC,0.0,Tier2+Tier1B
pcoD,0.0,Tier2+Tier1B
pcoE,0.0,Tier2+Tier1B
pcoR,0.0,Tier2+Tier1B
tet(A).1,0.0,Tier2+Tier1B
tet(B),0.0,Tier2+Tier1B
blaOXA-1,0.0,Tier2+Tier1B
tet(M),0.0,Tier2+Tier1B
tet(X4),0.0,Tier2+Tier1B
ncrB,0.0,Tier2+Tier1B
terE,0.0,Tier2+Tier1B
terW,0.0,Tier2+Tier1B
terZ,0.0,Tier2+Tier1B
trxLHR,0.0,Tier2+Tier1B
yfdX1,0.0,Tier2+Tier1B
yfdX2,0.0,Tier2+Tier1B
group_15883,0.0,Novel
yjgL_2,0.0,Novel
group_17581,0.0,Novel
group_15443,0.0,Novel
yihF_2,0.0,Novel
group_2358,0.0,Novel
silP,0.0,Tier2+Tier1B
repE,0.0,Novel
pcoS,0.0,Tier2+Tier1B
psi-GI,0.0,Tier2+Tier1B
qacE,0.0,Tier2+Tier1B
qacEdelta1,0.0,Tier2+Tier1B
qacL,0.0,Tier2+Tier1B
shsP,0.0,Tier2+Tier1B
silA,0.0,Tier2+Tier1B
silB,0.0,Tier2+Tier1B
silC,0.0,Tier2+Tier1B
silE,0.0,Tier2+Tier1B
silF,0.0,Tier2+Tier1B
group_3733,0.0,Novel
blaCTX-M-55_2,0.0,Tier2+Tier1B
blaCTX-M-65_2,0.0,Tier2+Tier1B
blaGES-5_1,0.0,Tier2+Tier1B
blaNDM-1_1,0.0,Tier2+Tier1B
blaNDM-5_1,0.0,Tier2+Tier1B
blaOXA-10_2,0.0,Tier2+Tier1B
blaOXA-1_1,0.0,Tier2+Tier1B
blaOXA-2_1,0.0,Tier2+Tier1B
blaOXA-9_2,0.0,Tier2+Tier1B
blaSHV-102_2,0.0,Tier2+Tier1B
blaSHV-12_1,0.0,Tier2+Tier1B
blaSHV-2_2,0.0,Tier2+Tier1B
blaOXA-9,0.0,Tier2+Tier1B
aadA22_1,0.0,Tier2+Tier1B
aadA24_1,0.0,Tier2+Tier1B
aadA2_2,0.0,Tier2+Tier1B
aadA4_1,0.0,Tier2+Tier1B
aadB_1,0.0,Tier2+Tier1B
aph(3')-IIa_1,0.0,Tier2+Tier1B
aph(3')-Ia_1,0.0,Tier2+Tier1B
aph(3')-Ic_1,0.0,Tier2+Tier1B
aph(4)-Ia_1,0.0,Tier2+Tier1B
blaCARB-2_1,0.0,Tier2+Tier1B
blaCMY-2_1,0.0,Tier2+Tier1B
blaCMY-42_1,0.0,Tier2+Tier1B
blaTEM-104_1,0.0,Tier2+Tier1B
blaTEM-190_1,0.0,Tier2+Tier1B
blaTEM-1A_4,0.0,Tier2+Tier1B
thyA_F62L,0.0,Tier2+Tier1B
tolC_R233S,0.0,Tier2+Tier1B
parC_I555L,0.0,Tier2+Tier1B
parE_L288F,0.0,Tier2+Tier1B
rpoB_M1214I,0.0,Tier2+Tier1B
parC_D475N,0.0,Tier2+Tier1B
parE_L270V,0.0,Tier2+Tier1B
tolC_H150Q,0.0,Tier2+Tier1B
gyrA_L424V,0.0,Tier2+Tier1B
parE_V130M,0.0,Tier2+Tier1B
blaCTX-M-27_1,0.0,Tier2+Tier1B
parC_L689F,0.0,Tier2+Tier1B
tolC_S124R,0.0,Tier2+Tier1B
folP_N115H,0.0,Tier2+Tier1B
blaTEM-1C_5,0.0,Tier2+Tier1B
blaTEM-1D_83,0.0,Tier2+Tier1B
blaTEM-30_1,0.0,Tier2+Tier1B
blaTEM-34_1,0.0,Tier2+Tier1B
blaTEM-84_1,0.0,Tier2+Tier1B
catA1_1,0.0,Tier2+Tier1B
catA2_1,0.0,Tier2+Tier1B
blaCTX-M-1_6,0.0,Tier2+Tier1B
blaCTX-M-24_8,0.0,Tier2+Tier1B
parC_Q91E,0.0,Tier2+Tier1B
tolC,0.0,Tier2+Tier1B
vgaC,0.0,Tier2+Tier1B
ARR-3_4,0.0,Tier2+Tier1B
QnrA1_1,0.0,Tier2+Tier1B
QnrB1_1,0.0,Tier2+Tier1B
QnrB44_1,0.0,Tier2+Tier1B
QnrD_1,0.0,Tier2+Tier1B
mdtF,0.0,Tier2+Tier1B
mdtG,0.0,Tier2+Tier1B
mdtH,0.0,Tier2+Tier1B
mdtL,0.0,Tier2+Tier1B
mdtM,0.0,Tier2+Tier1B
blaCTX-M-14_1,0.0,Tier2+Tier1B
mdtO,0.0,Tier2+Tier1B
mdtP,0.0,Tier2+Tier1B
mefB,0.0,Tier2+Tier1B
mfd,0.0,Tier2+Tier1B
mphB,0.0,Tier2+Tier1B
msbA,0.0,Tier2+Tier1B
oqxA,0.0,Tier2+Tier1B
oqxB,0.0,Tier2+Tier1B
patA,0.0,Tier2+Tier1B
emrY,0.0,Tier2+Tier1B
evgA,0.0,Tier2+Tier1B
evgS,0.0,Tier2+Tier1B
mdtN,0.0,Tier2+Tier1B
blaCTX-M-14b_1,0.0,Tier2+Tier1B
blaCTX-M-15_23,0.0,Tier2+Tier1B
QnrS1_1,0.0,Tier2+Tier1B
QnrS2_1,0.0,Tier2+Tier1B
QnrS4_1,0.0,Tier2+Tier1B
aac(3)-IIa_1,0.0,Tier2+Tier1B
aac(3)-IId_1,0.0,Tier2+Tier1B
aac(3)-IIe_1,0.0,Tier2+Tier1B
aac(3)-IVa_1,0.0,Tier2+Tier1B
aac(3)-VIa_1,0.0,Tier2+Tier1B
aac(6')-IIc_1,0.0,Tier2+Tier1B
aac(6')-Iaf_1,0.0,Tier2+Tier1B
tetX,0.0,Tier2+Tier1B
aac(6')Ib-cr_1,0.0,Tier2+Tier1B
aadA13_1,0.0,Tier2+Tier1B
aadA1_1,0.0,Tier2+Tier1B
aadA1_2,0.0,Tier2+Tier1B
aadA1_5,0.0,Tier2+Tier1B
qacH,0.0,Tier2+Tier1B
rmtB,0.0,Tier2+Tier1B
sul1,0.0,Tier2+Tier1B
sul3,0.0,Tier2+Tier1B
tet(A),0.0,Tier2+Tier1B
tet(D),0.0,Tier2+Tier1B
tetM,0.0,Tier2+Tier1B
aac(6')-Ib_1,0.0,Tier2+Tier1B
aadA22.1,0.0,Tier2+Tier1B
aadA25.1,0.0,Tier2+Tier1B
aadA4.1,0.0,Tier2+Tier1B
aadA5.1,0.0,Tier2+Tier1B
acrF.1,0.0,Tier2+Tier1B
ant(2'')-Ia,0.0,Tier2+Tier1B
aph(3'')-Ib,0.0,Tier2+Tier1B
aph(3')-IIa,0.0,Tier2+Tier1B
aph(3')-Ia,0.0,Tier2+Tier1B
aph(4)-Ia,0.0,Tier2+Tier1B
tet(B)_4,0.0,Tier2+Tier1B
tet(D)_1,0.0,Tier2+Tier1B
blaTEM-15_1,0.0,Tier2+Tier1B
tet(X)_1,0.0,Tier2+Tier1B
aac(3)-IId,0.0,Tier2+Tier1B
aac(3)-IIe,0.0,Tier2+Tier1B
aac(3)-IIg,0.0,Tier2+Tier1B
aac(3)-IVa,0.0,Tier2+Tier1B
aac(3)-VIa,0.0,Tier2+Tier1B
aac(6')-IIc,0.0,Tier2+Tier1B
aac(6')-Ib,0.0,Tier2+Tier1B
aac(6')-Ib',0.0,Tier2+Tier1B
aac(6')-Ib-cr5,0.0,Tier2+Tier1B
aac(6')-Ib3,0.0,Tier2+Tier1B
aac(6')-Ib4,0.0,Tier2+Tier1B
tet(M)_8,0.0,Tier2+Tier1B
blaOXA-10,0.0,Tier2+Tier1B
blaOXA-2,0.0,Tier2+Tier1B
ybcO_2,0.0,Novel
blaSHV,0.0,Tier2+Tier1B
blaSHV-1,0.0,Tier2+Tier1B
aph(6)-Id,0.0,Tier2+Tier1B
arr,0.0,Tier2+Tier1B
arr-2.1,0.0,Tier2+Tier1B
arr-3.1,0.0,Tier2+Tier1B
blaCARB-2,0.0,Tier2+Tier1B
blaCMY-111,0.0,Tier2+Tier1B
blaCMY-2,0.0,Tier2+Tier1B
aadA2.1,0.0,Tier2+Tier1B
blaCTX-M,0.0,Tier2+Tier1B
blaCTX-M-1,0.0,Tier2+Tier1B
blaCTX-M-14,0.0,Tier2+Tier1B
blaCTX-M-15,0.0,Tier2+Tier1B
blaCTX-M-182,0.0,Tier2+Tier1B
blaCTX-M-191,0.0,Tier2+Tier1B
blaCTX-M-192,0.0,Tier2+Tier1B
blaCTX-M-24,0.0,Tier2+Tier1B
aadA11,0.0,Tier2+Tier1B
aadA12.1,0.0,Tier2+Tier1B
aadA13.1,0.0,Tier2+Tier1B
aadA15,0.0,Tier2+Tier1B
blaCMY-42,0.0,Tier2+Tier1B
mef(B)_1,0.0,Tier2+Tier1B
mph(A)_2,0.0,Tier2+Tier1B
mph(B)_1,0.0,Tier2+Tier1B
oqxA_1,0.0,Tier2+Tier1B
oqxB_1,0.0,Tier2+Tier1B
catB3_1,0.0,Tier2+Tier1B
catB4_1,0.0,Tier2+Tier1B
cmlA1_1,0.0,Tier2+Tier1B
dfrA10_1,0.0,Tier2+Tier1B
dfrA12_1,0.0,Tier2+Tier1B
dfrA14_1,0.0,Tier2+Tier1B
dfrA18_1,0.0,Tier2+Tier1B
aacA16,0.0,Tier2+Tier1B
dfrA1_30,0.0,Tier2+Tier1B
dfrA21_1,0.0,Tier2+Tier1B
dfrA5_1,0.0,Tier2+Tier1B
dfrA7_1,0.0,Tier2+Tier1B
dfrA8_1,0.0,Tier2+Tier1B
dfrB1_2,0.0,Tier2+Tier1B
ere(A)_2,0.0,Tier2+Tier1B
blaTEM-106_1,0.0,Tier2+Tier1B
blaTEM-110_1,0.0,Tier2+Tier1B
blaTEM-122_1,0.0,Tier2+Tier1B
blaTEM-135_1,0.0,Tier2+Tier1B
blaTEM-158_1,0.0,Tier2+Tier1B
dfrA1_1,0.0,Tier2+Tier1B
qepA2_1,0.0,Tier2+Tier1B
qepA_1,0.0,Tier2+Tier1B
rmtB_1,0.0,Tier2+Tier1B
strA_1,0.0,Tier2+Tier1B
strA_4,0.0,Tier2+Tier1B
strB_1,0.0,Tier2+Tier1B
sul1_1,0.0,Tier2+Tier1B
sul1_2,0.0,Tier2+Tier1B
sul2_14,0.0,Tier2+Tier1B
sul2_3,0.0,Tier2+Tier1B
sul2_6,0.0,Tier2+Tier1B
sul3_2,0.0,Tier2+Tier1B
mcr-3_1,0.0,Tier2+Tier1B
tet(A)_4,0.0,Tier2+Tier1B
tet(B)_3,0.0,Tier2+Tier1B
ere(B)_2,0.0,Tier2+Tier1B
erm(42)_2,0.0,Tier2+Tier1B
erm(B)_18,0.0,Tier2+Tier1B
floR_2,0.0,Tier2+Tier1B
fosA_10,0.0,Tier2+Tier1B
fosA_14,0.0,Tier2+Tier1B
fosA_3,0.0,Tier2+Tier1B
lnu(F)_1,0.0,Tier2+Tier1B
mcr-1.9_1,0.0,Tier2+Tier1B
mcr-1_1,0.0,Tier2+Tier1B
tet(A)_3,0.0,Tier2+Tier1B
group_11935,0.0,Novel
gyrB_T245P,0.0,Tier2+Tier1B
ampC_S298I,0.0,Tier2+Tier1B
gyrA_P636A,0.0,Tier2+Tier1B
gyrA_Q749E,0.0,Tier2+Tier1B
ampC_T332A,0.0,Tier2+Tier1B
tolC_C91R,0.0,Tier2+Tier1B
parE_R378C,0.0,Tier2+Tier1B
gyrB_L615F,0.0,Tier2+Tier1B
ftsI_*143*,0.0,Tier2+Tier1B
parE_T161P,0.0,Tier2+Tier1B
group_17286,0.0,Novel
ompF_V40L,0.0,Tier2+Tier1B
parE_T333P,0.0,Tier2+Tier1B
ampC_T129P,0.0,Tier2+Tier1B
thyA_P254T,0.0,Tier2+Tier1B
group_11443,0.0,Novel
yadM,0.0,Novel
yjiA_2,0.0,Novel
group_13334,0.0,Novel
uvrY,0.0,Novel
group_21522,0.0,Novel
arcA_2,0.0,Novel
arcB_2,0.0,Novel
folA_C104R,0.0,Tier2+Tier1B
group_14906,0.0,Novel
rtcB,0.0,Novel
fimA_2,0.0,Novel
C,0.0,Novel
group_10139,0.0,Novel
rfaJ,0.0,Novel
nmpC_1,0.0,Novel
rhtB,0.0,Novel
group_11934,0.0,Novel
group_16629,0.0,Novel
dcuS,0.0,Novel
rfaI,0.0,Novel
group_19044,0.0,Novel
lacY,0.0,Novel
group_26313,0.0,Novel
group_8333,0.0,Novel
rfaG_1,0.0,Novel
fepE,0.0,Novel
group_25847,0.0,Novel
waaP,0.0,Novel
group_26395,0.0,Novel
rfaJ_1,0.0,Novel
waaU,0.0,Novel
group_17287,0.0,Novel
group_15878,0.0,Novel
group_19046,0.0,Novel
group_21563,0.0,Novel
group_15887,0.0,Novel
group_15890,0.0,Novel
mntH_2,0.0,Novel
group_15875,0.0,Novel
group_26387,0.0,Novel
group_26311,0.0,Novel
group_26329,0.0,Novel
group_26391,0.0,Novel
group_26385,0.0,Novel
group_26384,0.0,Novel
group_26383,0.0,Novel
hsdS,0.0,Novel
group_19070,0.0,Novel
group_19068,0.0,Novel
wbbL,0.0,Novel
group_26379,0.0,Novel
group_21552,0.0,Novel
group_17285,0.0,Novel
group_21539,0.0,Novel
hsdR_1,0.0,Novel
group_21543,0.0,Novel
group_26353,0.0,Novel
group_21542,0.0,Novel
hsdM_1,0.0,Novel
group_26386,0.0,Novel
group_21562,0.0,Novel
group_6554,0.0,Novel
group_21538,0.0,Novel
group_17290,0.0,Novel
group_26341,0.0,Novel
rfaB,0.0,Novel
group_14382,0.0,Novel
xerD_2,0.0,Novel
group_12673,0.0,Novel
yjgN,0.0,Novel
group_4134,0.0,Novel
group_26396,0.0,Novel
group_16790,0.0,Novel
group_26393,0.0,Novel
group_26394,0.0,Novel
group_26389,0.0,Novel
group_26390,0.0,Novel
yggM,0.0,Novel
group_21564,0.0,Novel
group_11737,0.0,Novel
mgtA,0.0,Novel
group_4717,0.0,Novel
vapC_2,0.0,Novel
group_26398,0.0,Novel
group_12319,0.0,Novel
group_26392,0.0,Novel
parE_A383S,0.0,Tier2+Tier1B
yadC,0.0,Novel
rpoB_W623R,0.0,Tier2+Tier1B
ygjO,0.0,Novel
group_8914,0.0,Novel
group_12211,0.0,Novel
group_24328,0.0,Novel
group_21567,0.0,Novel
group_5429,0.0,Novel
fliQ2,0.0,Novel
group_21531,0.0,Novel
group_8455,0.0,Novel
group_4550,0.0,Novel
group_13325,0.0,Novel
group_15871,0.0,Novel
group_10471,0.0,Novel
group_21193,0.0,Novel
fI,0.0,Novel
dpnM,0.0,Novel
group_15501,0.0,Novel
yicI_1,0.0,Novel
group_8965,0.0,Novel
group_12459,0.0,Novel
group_13311,0.0,Novel
yjgM,0.0,Novel
group_14256,0.0,Novel
acrR_L195F,0.0,Tier2+Tier1B
gyrA_G468R,0.0,Tier2+Tier1B
phoP_Y98H,0.0,Tier2+Tier1B
parE_S164R,0.0,Tier2+Tier1B
gyrA_R91C,0.0,Tier2+Tier1B
phoQ_S349A,0.0,Tier2+Tier1B
parE_N299H,0.0,Tier2+Tier1B
fII,0.0,Novel
group_3540,0.0,Novel
sphX,0.0,Novel
group_2854,0.0,Novel
parE_V44L,0.0,Tier2+Tier1B
folA_Q49H,0.0,Tier2+Tier1B
robA_L279V,0.0,Tier2+Tier1B
ftsI_H425Q,0.0,Tier2+Tier1B
dcp,0.0,Novel
group_15837,0.0,Novel
group_574,0.0,Novel
W,0.0,Novel
group_15877,0.0,Novel
phoP_N69Y,0.0,Tier2+Tier1B
soxR_L57F,0.0,Tier2+Tier1B
rpoB_Q1003H,0.0,Tier2+Tier1B
ftsI_*314*,0.0,Tier2+Tier1B
parE_G244R,0.0,Tier2+Tier1B
dmsB_1,0.0,Novel
group_5203,0.0,Novel
vapB_2,0.0,Novel
ybcO_1,0.0,Novel
group_3820,0.0,Novel
group_5988,0.0,Novel
group_21566,0.0,Novel
group_11072,0.0,Novel
group_18510,0.0,Novel
group_18621,0.0,Novel
group_8589,0.0,Novel
group_20098,0.0,Novel
group_21565,0.0,Novel
group_10626,0.0,Novel
group_26087,0.0,Novel
hin,0.0,Novel
group_1405,0.0,Novel
group_10683,0.0,Novel
group_21518,0.0,Novel
group_26312,0.0,Novel
group_19042,0.0,Novel
group_21520,0.0,Novel
group_21517,0.0,Novel
lutR,0.0,Novel
group_21519,0.0,Novel
group_9652,0.0,Novel
lyxK,0.0,Novel
fimD_2,0.0,Novel
ynbB,0.0,Novel
yigF,0.0,Novel
group_15057,0.0,Novel
sopA,0.0,Novel
group_21251,0.0,Novel
group_7686,0.0,Novel
group_5716,0.0,Novel
tnpA_1,0.0,Novel
rfaJ_2,0.0,Novel
group_7854,0.0,Novel
ydeH_2,0.0,Novel
group_12490,0.0,Novel
